127.0.0.1 - - [07/Nov/2016:22:56:14 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:16 -0200] "GET /Proj_Comp3/ HTTP/1.1" 200 3045
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:16 -0200] "GET /Proj_Comp3/bootstrap/bootstrap.min.css HTTP/1.1" 200 124529
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:16 -0200] "GET /Proj_Comp3/js/jquery-latest.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:16 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:17 -0200] "GET /Proj_Comp3/img/decor.jpg HTTP/1.1" 200 169963
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:17 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:28 -0200] "GET /Proj_Comp3/CriarMobilia HTTP/1.1" 200 7173
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:28 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:31 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:31 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:37 -0200] "POST /Proj_Comp3/CriarComodo HTTP/1.1" 200 6381
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:37 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:39 -0200] "GET /Proj_Comp3/AlterarComodo.jsp?id=158&desc=aaaaaaaaaaaaaaaaaaaaaaaaaaaaa&tipo=Sala HTTP/1.1" 200 3964
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:56:39 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:27 -0200] "POST /Proj_Comp3/AlterarComodo HTTP/1.1" 200 6321
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:27 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:29 -0200] "GET /Proj_Comp3/AlterarComodo.jsp?id=159&desc=weqeqwe&tipo=Quarto HTTP/1.1" 200 3942
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:29 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:34 -0200] "POST /Proj_Comp3/AlterarComodo HTTP/1.1" 200 6179
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:34 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:38 -0200] "GET /Proj_Comp3/AlterarComodo.jsp?id=158&desc=aaaaaaaak&tipo=Sala HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:38 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:44 -0200] "POST /Proj_Comp3/AlterarComodo HTTP/1.1" 200 6188
0:0:0:0:0:0:0:1 - - [07/Nov/2016:22:57:44 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
