127.0.0.1 - - [08/Nov/2016:23:42:36 -0200] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [08/Nov/2016:23:43:11 -0200] "GET /Proj_Comp3/ HTTP/1.1" 200 3045
127.0.0.1 - - [08/Nov/2016:23:43:11 -0200] "GET /Proj_Comp3/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Nov/2016:23:43:11 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:43:11 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [08/Nov/2016:23:43:35 -0200] "GET /Proj_Comp3/ HTTP/1.1" 200 3059
127.0.0.1 - - [08/Nov/2016:23:43:35 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:43:35 -0200] "GET /Proj_Comp3/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Nov/2016:23:43:35 -0200] "GET /Proj_Comp3/js/jquery-latest.min.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Nov/2016:23:43:35 -0200] "GET /Proj_Comp3/img/decor.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Nov/2016:23:43:42 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8558
127.0.0.1 - - [08/Nov/2016:23:43:42 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:43:49 -0200] "POST /Proj_Comp3/CriarComodo HTTP/1.1" 200 6403
127.0.0.1 - - [08/Nov/2016:23:43:49 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:45:17 -0200] "GET /Proj_Comp3/index.jsp HTTP/1.1" 200 3059
127.0.0.1 - - [08/Nov/2016:23:45:17 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:45:18 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8558
127.0.0.1 - - [08/Nov/2016:23:45:18 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:45:20 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8558
127.0.0.1 - - [08/Nov/2016:23:45:20 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:45:21 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8558
127.0.0.1 - - [08/Nov/2016:23:45:21 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:45:24 -0200] "POST /Proj_Comp3/CriarComodo HTTP/1.1" 200 6403
127.0.0.1 - - [08/Nov/2016:23:45:24 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:47:09 -0200] "GET /Proj_Comp3/index.jsp HTTP/1.1" 200 3059
127.0.0.1 - - [08/Nov/2016:23:47:09 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:47:10 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8558
127.0.0.1 - - [08/Nov/2016:23:47:10 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:47:28 -0200] "POST /Proj_Comp3/CriarComodo HTTP/1.1" 200 6403
127.0.0.1 - - [08/Nov/2016:23:47:28 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:47:32 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8558
127.0.0.1 - - [08/Nov/2016:23:47:32 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:50:09 -0200] "POST /Proj_Comp3/CriarComodo HTTP/1.1" 200 6536
127.0.0.1 - - [08/Nov/2016:23:50:09 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:50:12 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8728
127.0.0.1 - - [08/Nov/2016:23:50:12 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:50:14 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8728
127.0.0.1 - - [08/Nov/2016:23:50:14 -0200] "GET /Proj_Comp3/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Nov/2016:23:50:14 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:50:14 -0200] "GET /Proj_Comp3/js/jquery-latest.min.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Nov/2016:23:50:43 -0200] "POST /Proj_Comp3/CriarComodo HTTP/1.1" 200 6663
127.0.0.1 - - [08/Nov/2016:23:50:43 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:50:57 -0200] "GET /Proj_Comp3/CriarComodo HTTP/1.1" 200 8899
127.0.0.1 - - [08/Nov/2016:23:50:57 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:51:59 -0200] "POST /Proj_Comp3/CriarComodo HTTP/1.1" 200 6796
127.0.0.1 - - [08/Nov/2016:23:51:59 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:53:29 -0200] "GET /Proj_Comp3/AlterarComodo.jsp?id=166&desc=LLLLLL&tipo=Quarto HTTP/1.1" 200 4002
127.0.0.1 - - [08/Nov/2016:23:53:29 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
127.0.0.1 - - [08/Nov/2016:23:53:32 -0200] "GET /Proj_Comp3/AlterarComodo.jsp?id=null&desc=164&tipo=Sala HTTP/1.1" 200 3998
127.0.0.1 - - [08/Nov/2016:23:53:32 -0200] "GET /Proj_Comp3/bootstrap/cosmo_booststrap.css HTTP/1.1" 404 1076
